Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Google Search,Chrome 64.0.3282.186,,2018-03-21 13:35:24,2018-03-21 13:35:49,25.835s,PASSED
,,,,,,
Test Cases/Search Text,Chrome 64.0.3282.186,,2018-03-21 13:35:24,2018-03-21 13:35:49,25.172s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-21 13:35:25,2018-03-21 13:35:31,6.007s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-21 13:35:31,2018-03-21 13:35:39,8.333s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-21 13:35:39,2018-03-21 13:35:39,0.183s,PASSED
sendKeys,Chrome 64.0.3282.186,,2018-03-21 13:35:39,2018-03-21 13:35:41,1.357s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-21 13:35:41,2018-03-21 13:35:41,0.002s,NOT_RUN
click,Chrome 64.0.3282.186,,2018-03-21 13:35:41,2018-03-21 13:35:41,0.001s,NOT_RUN
click,Chrome 64.0.3282.186,,2018-03-21 13:35:41,2018-03-21 13:35:45,4.614s,PASSED
click,Chrome 64.0.3282.186,,2018-03-21 13:35:45,2018-03-21 13:35:47,1.980s,PASSED
click,Chrome 64.0.3282.186,,2018-03-21 13:35:47,2018-03-21 13:35:49,1.457s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-21 13:35:49,2018-03-21 13:35:49,0.673s,PASSED
