Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Google Search,Chrome 64.0.3282.186,,2018-03-19 14:55:42,2018-03-19 14:56:11,29.425s,PASSED
,,,,,,
Test Cases/Search Text,Chrome 64.0.3282.186,,2018-03-19 14:55:43,2018-03-19 14:56:02,19.608s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-19 14:55:43,2018-03-19 14:55:49,5.798s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-19 14:55:49,2018-03-19 14:55:54,4.998s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-19 14:55:54,2018-03-19 14:55:54,0.310s,PASSED
sendKeys,Chrome 64.0.3282.186,,2018-03-19 14:55:54,2018-03-19 14:55:55,1.026s,PASSED
waitForElementClickable,Chrome 64.0.3282.186,,2018-03-19 14:55:55,2018-03-19 14:55:55,0.002s,NOT_RUN
click,Chrome 64.0.3282.186,,2018-03-19 14:55:55,2018-03-19 14:55:55,0.001s,NOT_RUN
click,Chrome 64.0.3282.186,,2018-03-19 14:55:55,2018-03-19 14:55:59,3.454s,PASSED
click,Chrome 64.0.3282.186,,2018-03-19 14:55:59,2018-03-19 14:56:00,1.634s,PASSED
click,Chrome 64.0.3282.186,,2018-03-19 14:56:00,2018-03-19 14:56:02,1.253s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-19 14:56:02,2018-03-19 14:56:02,0.649s,PASSED
,,,,,,
Test Cases/Search Images,Chrome 64.0.3282.186,,2018-03-19 14:56:02,2018-03-19 14:56:11,9.127s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-19 14:56:03,2018-03-19 14:56:05,2.723s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-19 14:56:05,2018-03-19 14:56:08,3.099s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-19 14:56:08,2018-03-19 14:56:09,0.213s,PASSED
sendKeys,Chrome 64.0.3282.186,,2018-03-19 14:56:09,2018-03-19 14:56:10,1.285s,PASSED
click,Chrome 64.0.3282.186,,2018-03-19 14:56:10,2018-03-19 14:56:10,0.001s,NOT_RUN
click,Chrome 64.0.3282.186,,2018-03-19 14:56:10,2018-03-19 14:56:11,0.959s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-19 14:56:11,2018-03-19 14:56:11,0.639s,PASSED
